Sample ID,umol/L C,Date
6,669.295997,5/29/24
7,851.039109,5/29/24
8,902.040128,5/30/24
9,766.21471,5/30/24
10,568.050748,5/31/24
11,697.779033,6/1/24
12,874.256763,6/3/24
13,977.197644,6/4/24
14,956.386002,6/5/24
15,1278.11329,6/5/24
16,3130.59579,6/5/24
17,1057.46704,6/6/24
18,1801.934,6/6/24
19,2900.887,6/7/24
20,1929.929,6/7/24
21,1627.870,6/10/24
22,1698.362,6/10/24
23,2712.781,6/10/24
24,1467.079,6/10/24
25,1131.849,6/27/24
26,1229.659,6/27/24
27,1425.957,6/27/24
28,1430.44,6/27/24
29,1654.101,6/27/24
30,1986.621,6/27/24
31,1341.419,6/27/24
33,1324.046,6/27/24
34,2297.227,6/27/24
35,2328.137,6/27/24
36,3439.437,6/27/24
37,1430.419,6/27/24
38,1725.743,6/27/24
39,2293.563,6/27/24
