Sample ID,umol/L N,Date
6,27.4,5/29/24
7,24.6,5/29/24
8,29.2,5/30/24
9,37.1,5/30/24
10,30.6,5/31/24
11,26.8,6/1/24
12,43.7,6/3/24
13,57.2,6/4/24
14,32.1,6/5/24
15,42.4,6/5/24
16,77.8,6/5/24
17,36.7,6/6/24
18,38.52971348,6/6/24
19,65.91784887,6/7/24
20,47.23942596,6/7/24
21,49.73347785,6/10/24
22,117.647921,6/10/24
23,70.14536581,6/10/24
24,42.52895734,6/10/24
25,21.82120506,6/27/24
26,27.27263155,6/27/24
27,43.79548954,6/27/24
28,43.72440517,6/27/24
29,44.24275062,6/27/24
30,47.40785894,6/27/24
31,34.25404449,6/27/24
33,39.76270406,6/27/24
34,165.9404693,6/27/24
35,68.1586491,6/27/24
36,141.4742634,6/27/24
37,52.09158102,6/27/24
38,90.65400166,6/27/24
39,64.87402897,6/27/24
